"ID","Rank1","Rank2","Rank3","Rank4","Rank5","Decision"
"ABBV",0.00124820200332638,0.0142896488203423,0.139991911492888,0.467026780936042,0.377443456747401,0.00395330724086981
"ACN",0.00074892404430128,0.00473962758120094,0.0333115245878339,0.154867886306319,0.806332037480345,0.00641719399758312
"AEP",0.909684584631715,0.0690363558204311,0.00763906621359777,0.00909164284305884,0.00454835049119771,-0.00693838353849731
"AIZ",0.399574967854558,0.512347909953981,0.0452860883031913,0.0355625696701358,0.00722846421813434,-0.00413456212798279
"ALLE",0.139917279024128,0.264637569206751,0.0630204692870449,0.312259979740225,0.220164702741851,0.000720911704216606
"AMAT",0.211035248500601,0.342730225807285,0.108805628213196,0.226284778347424,0.111144119131494,-0.00104029708891795
"AMP",0.000452222646258374,0.00568909551667141,0.0279577817225091,0.0881111854278764,0.877789714686685,0.00678608641508121
"AMZN",0.00394864375232143,0.0313335984107205,0.175313455726643,0.239478939509701,0.549925362600615,0.00461518874410965
"AVB",0.871902203813959,0.0894678877924206,0.0107152059187059,0.0232918988087656,0.00462280366614898,-0.00667003547356771
"AVY",0.000691069873061813,0.00212914460040584,0.0106451476104089,0.0513292113247759,0.935205426591348,0.00713185784219807
"AXP",0.00442806913854842,0.0560643715323992,0.187907234180646,0.269553569287419,0.482046755860987,0.00411586314480584
"BDX",0.0167561148025798,0.106726784803832,0.194625522602324,0.588233855307048,0.0936577224842162,0.00178052973387031
"BF-B",0.00729226432658454,0.0928830641316786,0.315817980566817,0.304949150299214,0.279057540675706,0.00256840478803725
"BMY",0.349462208565556,0.4093555574205,0.149897964122804,0.0694154709823105,0.0218687989088287,-0.00330680078852093
"BR",0.000152361781213514,0.000580326287274069,0.007250358242693,0.0591822018313167,0.932834751857503,0.00714162261443228
"CARR",0.012929970896867,0.0830848919521834,0.188984942273453,0.430949973358419,0.284050221519077,0.00290306458318217
"CDW",0.0013215808383894,0.00867782398027244,0.0627428104695974,0.206792946647354,0.720464838064386,0.00588886223586268
"CE",0.000493234027775078,0.00187819393038571,0.00767603608869026,0.0502676031265209,0.939684932826628,0.00716491126398173
"CHTR",0.0108879701620496,0.00688338677304845,0.05868884006768,0.231916569403911,0.691623233593311,0.00566809743231162
"CNC",0.000796266421818017,0.027085156906907,0.109726891840695,0.288290146934108,0.574101537896472,0.00495280201112791
"CNP",0.902296946565851,0.0789814038765341,0.00653903833009501,0.010571487847163,0.00161112338035708,-0.00692616846396463
"COP",0.000128982729790599,0.00527185431499242,0.0139251070736198,0.231912393400391,0.748761662481206,0.00618134644584911
"CTAS",0.000608372071869184,0.00118992621291843,0.00598397968069306,0.0256337714813446,0.966583950553175,0.00730592645178086
"CZR",0.000930545907021259,0.00163815400375659,0.00867913933278153,0.0530520657685743,0.935700094987866,0.00713930639751838
"DG",0.000183590558401345,0.00213637554898526,0.00659457094959256,0.0537870867780887,0.937298376164932,0.00715748767012174
"DPZ",0.000933192081670599,0.00319328355533859,0.0168449568112479,0.0998114969059305,0.879217070645812,0.00682867462260754
"DRE",0.939306317809916,0.0415401630461158,0.00732600210348356,0.00946359094512701,0.00236392609535755,-0.00710725936811166
"DXC",0.103973289657522,0.104197982650276,0.173401355735504,0.183836478303316,0.434590893653382,0.00267872826910155
"EWA",0.00700037640442591,0.0679690555292671,0.194634429014849,0.376200909307014,0.354195229744443,0.0033745410344945
"EWC",0.017199367166024,0.134157907028297,0.388926219999885,0.35765659692409,0.102059908881703,0.00119520078760708
"EWG",0.0610304125095274,0.122341477675495,0.219016102243886,0.322471771735124,0.275140235835968,0.00210614941009738
"EWH",0.114596593104874,0.210795332460915,0.548470770814464,0.107123015137933,0.0190142884818144,-0.000976048077980403
"EWJ",0.00998389809343277,0.0250253180637367,0.108632156094035,0.293677634714003,0.562680993034792,0.00481685900368586
"EWL",0.00262233057604655,0.0614497593783244,0.251890859353282,0.430141386664278,0.253895664028069,0.00280627906910505
"EWQ",0.00805991151268994,0.104722350016399,0.373023802316695,0.451303386200403,0.0628905499538137,0.00127768237876844
"EWT",0.0679473243010457,0.587683203840166,0.198246915659094,0.122069675740667,0.0240528804590265,-0.00149324214906389
"EWU",0.000291355203490409,0.00191232054456922,0.0196921029469101,0.115398670583927,0.862705550721104,0.00675182234148049
"EWY",0.019471965717769,0.0605935245679959,0.3167828812536,0.417496488566935,0.1856551398937,0.00213863121631683
"EWZ",0.0396579227291501,0.273817876339161,0.313449927778571,0.298978505169967,0.0740957679831508,0.000321185411482022
"FTV",0.0651301941548423,0.0856154989293898,0.223412810326316,0.430270896568688,0.195570600020764,0.00183994153809266
"GOOG",0.00148906953857695,0.00193605730551181,0.0186442664456309,0.074043958850828,0.903886647859452,0.00694825159126986
"GPC",0.000233986146098981,0.00129404951663285,0.0225591539637888,0.0981789885943182,0.877733821779161,0.00682346111494218
"GSG",0.00986500106969818,0.0686197907804918,0.331883573702095,0.356044644320398,0.233586990127317,0.0023964770517819
"HIG",0.707101500272139,0.210079225606186,0.0597371430416434,0.0197143114476801,0.0033678196323515,-0.00575391489019467
"HIGH.L",0.115088391967753,0.585193824601082,0.272077836132721,0.0200327822075931,0.00760716509085104,-0.00221901180756049
"HST",0.014312986250412,0.0656893976948523,0.273777866765505,0.42409133890127,0.22212841038796,0.00245462053404765
"HYG",0.313177417095281,0.404668240009079,0.137885407066183,0.0970405240098668,0.0472284118195905,-0.00276368682956571
"IAU",0.0237027483264522,0.114872352467174,0.411983469024543,0.268733367282644,0.180708062899187,0.00156219239633419
"ICLN",0.00125408159248555,0.061991490991287,0.22015760468147,0.525627966874474,0.190968855860283,0.00258195199671645
"IEAA.L",0.642275088654232,0.314405593264581,0.0252004122861616,0.0105243254211708,0.00759458037385423,-0.00551980698171136
"IEF",0.929933014024381,0.054269391691521,0.00954557702327235,0.00490759461742755,0.00134442264339781,-0.00708781892804261
"IEFM.L",0.0206588711132971,0.0775416917943387,0.46527722856334,0.299991474157135,0.13653073437189,0.00142516343034643
"IEMG",0.0152364070234817,0.0491798927745421,0.177146984426319,0.549751756777277,0.208684958998379,0.00270229379981857
"IEUS",0.000244009654065379,0.0199230683913496,0.192295108640413,0.579924415208735,0.207613398105437,0.00295527378042875
"IEVL.L",0.00132200706454531,0.0123522695552989,0.1693233768772,0.521617165872926,0.29538518063003,0.0034786360425352
"IGF",0.037624706054882,0.750646348194257,0.134045350686142,0.0657883492134404,0.0118952458512782,-0.00190511594897907
"INDA",0.000689214626203415,0.0270048310497789,0.38875613817274,0.53801143365015,0.0455383825011277,0.00161388526556286
"IUMO.L",0.000325706166662449,0.00235469925634346,0.0517190358111223,0.541516954225564,0.404083604540308,0.00437608987522539
"IUVL.L",0.000425849083222577,0.00358539523020974,0.0767665305850679,0.607186278139099,0.312035946962401,0.00384607794136606
"IVV",6.73373600479113e-05,0.0256062232941305,0.19188176452825,0.58229453360789,0.200150141209682,0.00289234180465665
"IWM",0.000967328297236963,0.0618106790297335,0.267611169244771,0.521163042663978,0.148447780764281,0.00225448430258844
"IXN",0.0571377209488458,0.109969086883735,0.35641418206568,0.282353097173,0.194125912928739,0.00145837146557236
"JPEA.L",0.0154155380510524,0.128736224714504,0.525315850357877,0.294116446698871,0.0364159401776956,0.000570953570910742
"JPM",0.00112365177277688,0.00157169524176762,0.00726568991962902,0.0399783084214437,0.950060654644383,0.00721304405448623
"KR",0.00221093713631596,0.010421270607024,0.0600035509001643,0.259086184834833,0.668278056521663,0.00561716568095962
"LQD",0.720706089257939,0.154735361054755,0.0460071336954359,0.0699324242732217,0.00861899171864876,-0.00555266057349851
"MCHI",0.00746196294931836,0.0525606884958324,0.235549680705638,0.489057904400978,0.215369763448233,0.00265055154350472
"META",0.117163323865772,0.167349794323809,0.0988645505038146,0.281839129830195,0.334783201476409,0.00191837242084574
"MVEU.L",0.0016278820484315,0.0961172774632148,0.492470041575101,0.370851617478043,0.0389331814352087,0.000966625595437901
"OGN",0.00205875328060359,0.0145187873924676,0.0721634872001346,0.41498496784028,0.496274004286514,0.00470777983366386
"PG",0.0628949267962752,0.301466256415004,0.363264445339328,0.216687420983925,0.055686950465468,-0.000266006911058753
"PPL",0.800886452956626,0.139459715541317,0.0320148120012415,0.0220534835299262,0.00558553597088966,-0.0062582724574215
"PRU",0.000564994984364625,0.00147018545365664,0.0121232866068303,0.0589389128513955,0.926902620103753,0.00709120400688976
"PYPL",0.17615725218108,0.46619712189342,0.186820274761378,0.123729442770783,0.0470959083933388,-0.00182412927621465
"RE",0.0371733305004858,0.319813255855996,0.268547122575709,0.236970426209853,0.137495864857957,0.000545311933565677
"REET",0.610638083768981,0.334924138921095,0.0265066959485376,0.0215501940976503,0.00638088726373521,-0.00531536383584796
"ROL",0.00195443072519224,0.00498566265342453,0.0208732173355829,0.0861379440398944,0.886048745245906,0.00683358806237153
"ROST",0.000454601767160209,0.00236128968852822,0.0121295836082558,0.0682941093013546,0.916760415634701,0.00703712565303862
"SEGA.L",0.534950133961632,0.390376558196938,0.0595438865334006,0.0123185434374835,0.00281087787054657,-0.00493618945758177
"SHY",0.650316943436603,0.242518430729335,0.0831306917781404,0.0202698272362831,0.00376410681963857,-0.00540476778335986
"SLV",0.0745812818126177,0.63571665487135,0.0957345067141817,0.171230089950245,0.0227374666516062,-0.00155004502601035
"SPMV.L",1.11422723829325e-05,0.000872635958969081,0.0129725639555083,0.0891508818546011,0.896992775958539,0.00694805786738525
"TLT",0.693815030711394,0.261294575433585,0.0181266414645433,0.0231406309199358,0.00362312147054202,-0.00577182418059051
"UNH",0.00347411924070598,0.1234152814141,0.411385064525934,0.160409542377868,0.301315992441393,0.00232629970141458
"URI",0.000701673027973571,0.00608302914026085,0.0758467242941288,0.199804802309796,0.717563771227841,0.00586077016942284
"V",0.000651196215312764,0.00799282020744694,0.0339015076602392,0.187385875010391,0.77006860090661,0.00621911317219209
"VRSK",0.00251859161975127,0.0189416367254799,0.112009928719909,0.309671120245681,0.556858722689178,0.00488437469182121
"VXX",0.898844449112098,0.085734356152646,0.0107960768635573,0.00295338689443379,0.00167173097726474,-0.00693574780915678
"WRK",0.00298064979002316,0.00892615621809766,0.0749731890784903,0.130623926342366,0.782496078571023,0.00615061014116817
"XLB",0.000533618896613169,0.000867435061391986,0.00474231476395821,0.0372860668861497,0.956570564391887,0.00726132367077645
"XLC",0.728992150311071,0.200520860269007,0.0249040704466025,0.0415782249542361,0.00400469401908329,-0.00583476251047683
"XLE",0.000624488791884704,0.00527580967842892,0.0217693520010384,0.156713818342188,0.81561653118646,0.00649103533961871
"XLF",0.00352981090727214,0.0174554794261735,0.0526946891080216,0.346732296535824,0.579587724022708,0.0051436263911399
"XLI",0.000656715519158138,0.00188961377622167,0.0145267216680882,0.12671924735713,0.856207701679402,0.0067287064801541
"XLK",0.0012416531149201,0.0110804244491092,0.0592679545549328,0.256415677772905,0.671994290108133,0.00564398291075859
"XLP",0.00464598380913469,0.0718433944884288,0.409838302067368,0.402747679169216,0.110924640465852,0.00162435063662735
"XLU",0.933512918395052,0.051654904749929,0.00753771693138504,0.00656550032526883,0.000728959598365038,-0.0071086032020368
"XLV",0.00227301346609343,0.0444112704733689,0.160715214924867,0.426033811707309,0.366566689428362,0.00368625892280186
"XLY",0.000130229771620207,0.00260295540211193,0.0200278379316876,0.126277620121894,0.850961356772686,0.00669042011430745
"XOM",0.00305310526959435,0.0115264854253179,0.0411794385693362,0.270642443649783,0.673598527085969,0.00567688055918397
